Symbol,RSI,Days,AR,MD
TQQQ,65,10,-10.84542451,97.14854536
TQQQ,65,11,-9.360674544,96.43103103
TQQQ,65,12,-7.62248234,96.46286286
TQQQ,65,13,-6.983261226,95.04794795
TQQQ,65,14,-2.016413772,89.69134795
TQQQ,65,15,2.611380795,86.91913507
TQQQ,65,16,8.366627305,83.44319135
TQQQ,65,17,8.209953213,87.03545168
TQQQ,65,18,12.69179466,79.54137285
TQQQ,65,19,14.53717885,70.33202304
TQQQ,65,20,14.85876427,66.465151
TQQQ,66,5,-18.25977553,97.80127039
TQQQ,66,6,-19.67936834,97.89047444
TQQQ,66,7,-13.85165856,96.78753391
TQQQ,66,8,-3.855904267,92.90886509
TQQQ,66,9,-4.212725268,93.99666025
TQQQ,66,10,-5.880116209,95.63002181
TQQQ,66,11,-7.038768048,96.38768769
TQQQ,66,12,-6.781986511,95.26406406
TQQQ,66,13,-3.742568913,92.16096096
TQQQ,66,14,2.875977125,87.41158764
TQQQ,66,15,5.747199611,83.09142754
TQQQ,66,16,2.781691552,85.9020034
TQQQ,66,17,9.965846996,76.066821
TQQQ,66,18,11.33953189,72.79535564
TQQQ,66,19,9.202920323,71.65777955
TQQQ,66,20,9.348743547,68.29574148
TQQQ,67,5,-13.8005913,95.64377575
TQQQ,67,6,-14.35637339,96.63918617
TQQQ,67,7,-7.079800835,93.20787933
TQQQ,67,8,-4.589304803,93.7862488
TQQQ,67,9,-6.160449004,94.05462699
TQQQ,67,10,-0.37420977,92.6864409
TQQQ,67,11,0.399581436,90.82812433
TQQQ,67,12,1.60672342,86.56186186
TQQQ,67,13,2.278447008,82.56006006
TQQQ,67,14,4.375334256,80.05904948
TQQQ,67,15,0.962554606,85.00850851
TQQQ,67,16,4.201276737,78.10650651
TQQQ,67,17,9.136604984,71.96771662
TQQQ,67,18,7.210057595,70.43994607
TQQQ,67,19,7.344389862,69.99682836
TQQQ,67,20,7.207963363,68.29573598
TQQQ,68,5,-16.44999472,97.55101804
TQQQ,68,6,-14.39087975,95.54846433
TQQQ,68,7,-3.507308302,93.52599373
TQQQ,68,8,-2.874215451,92.30458796
TQQQ,68,9,-8.156165562,94.41788387
TQQQ,68,10,-2.831516074,92.30147882
TQQQ,68,11,-1.030631339,82.38331558
TQQQ,68,12,3.247732269,73.91547937
TQQQ,68,13,4.962049956,75.94069538
TQQQ,68,14,3.613534657,80.41859167
TQQQ,68,15,3.313082019,77.63283283
TQQQ,68,16,5.285142215,70.76916917
TQQQ,68,17,10.59847222,62.66187137
TQQQ,68,18,8.332265275,62.09789575
TQQQ,68,19,9.259813047,61.56740366
TQQQ,68,20,8.964880179,61.56741793
TQQQ,69,5,-18.87358007,97.55514627
TQQQ,69,6,-11.59545144,96.48405163
TQQQ,69,7,-4.674752446,94.21924668
TQQQ,69,8,-3.991842766,94.06551126
TQQQ,69,9,-4.104624272,91.65403543
TQQQ,69,10,-0.412218909,84.52153223
TQQQ,69,11,0.645105624,75.86686356
TQQQ,69,12,2.679401399,74.64950831
TQQQ,69,13,4.704060096,78.28162699
TQQQ,69,14,6.179562171,75.7061419
TQQQ,69,15,3.255882809,69.68682854
TQQQ,69,16,7.396248786,61.56742058
TQQQ,69,17,9.587616565,61.56740807
TQQQ,69,18,9.06514534,61.5674146
TQQQ,69,19,8.192762868,61.56740366
TQQQ,69,20,9.674564813,56.18615676
TQQQ,70,5,-22.67379697,98.1431187
TQQQ,70,6,-12.92096488,96.76016658
TQQQ,70,7,-6.280110685,94.10999521
TQQQ,70,8,-1.419371894,92.48295359
TQQQ,70,9,0.385806092,86.53899589
TQQQ,70,10,2.281434777,78.78232133
TQQQ,70,11,2.964238045,75.85615335
TQQQ,70,12,0.70329064,80.7994933
TQQQ,70,13,3.52147385,71.94295873
TQQQ,70,14,6.899858267,57.78130689
