Days,RSI,Symbol,AR,MD,Source
14,68,AOR,5.491368452,24.20796593,Does this work? 
14,69,AOR,9.941898571,21.11879849,Does this work? 
14,70,AOR,10.15368283,16.77174664,Does this work? 
14,71,AOR,8.188363956,16.30913699,Does this work? 
14,72,AOR,5.955881379,17.31100058,Does this work? 
14,73,AOR,6.5860947,12.97097537,Does this work? 
14,74,AOR,5.129266958,9.083875861,Does this work? 
14,75,AOR,5.27679792,9.083858838,Does this work? 
14,76,AOR,4.187752821,9.083844571,Does this work? 
14,77,AOR,3.237427234,4.36498819,Does this work? 
14,78,AOR,3.230410119,4.364999138,Does this work? 
14,79,AOR,3.511214935,1.703845854,Does this work? 
14,80,AOR,2.614208884,0.572227347,Does this work? 
14,81,AOR,2.326679643,0.572223889,Does this work? 
14,82,AOR,1.766268179,0.572241032,Does this work? 
14,83,AOR,1.404849583,0.431944048,Does this work? 
14,84,AOR,1.404849583,0.431944048,Does this work? 
14,85,AOR,1.217892043,0.431944048,Does this work? 
14,86,AOR,1.217892043,0.431944048,Does this work? 
14,87,AOR,1.217892043,0.431944048,Does this work? 
14,88,AOR,1.217892043,0.431944048,Does this work? 
14,89,AOR,1.217892043,0.431944048,Does this work? 
14,90,AOR,1.217892043,0.431944048,Does this work? 
14,91,AOR,1.217892043,0.431944048,Does this work? 
14,92,AOR,1.217892043,0.431944048,Does this work? 
14,93,AOR,1.217892043,0.431944048,Does this work? 
14,94,AOR,1.217892043,0.431944048,Does this work? 
