Lookback (days),RSIs,symbol,AR (%),sharpe_ratio,MD ,calmer_ratio
14,67,PHDG,9.90%,0.5,34.38%,0.3
5,79,FDL,9.90%,0.6,28.51%,0.3
8,77,TQQQ,9.89%,0.7,23.13%,0.4
8,74,SPLV,9.87%,0.5,27.78%,0.4
10,65,SPLV,9.87%,0.4,46.00%,0.2
15,69,RSPT,9.87%,0.8,13.85%,0.7
15,72,RSPT,9.86%,1.0,11.88%,0.8
5,84,GNMA,9.86%,0.6,25.54%,0.4
5,88,TQQQ,9.86%,0.8,17.60%,0.6
8,78,PHDG,9.85%,0.7,21.23%,0.5
6,83,IOO,9.85%,0.8,13.41%,0.7
8,66,USCI,9.83%,0.5,44.15%,0.2
5,75,IOO,9.83%,0.5,32.25%,0.3
10,72,PHDG,9.83%,0.6,33.79%,0.3
9,75,DHS,9.83%,0.7,18.35%,0.5
9,76,FDL,9.83%,0.7,22.55%,0.4
7,75,SPLV,9.82%,0.5,33.38%,0.3
11,81,TQQQ,9.80%,1.1,4.51%,2.2
7,80,PHDG,9.80%,0.7,23.50%,0.4
12,69,USCI,9.80%,0.5,26.71%,0.4
12,71,DHS,9.78%,0.7,25.58%,0.4
12,75,TQQQ,9.76%,0.7,30.89%,0.3
8,72,DHS,9.76%,0.6,33.38%,0.3
14,70,RSPT,9.76%,0.8,13.85%,0.7
9,69,DTH,9.76%,0.5,36.59%,0.3
7,83,PHDG,9.75%,1.0,11.03%,0.9
5,79,SPHD,9.73%,0.5,31.88%,0.3
6,83,BIV,9.73%,0.5,33.87%,0.3
6,83,GNMA,9.72%,0.6,18.00%,0.5
12,70,FDL,9.70%,0.6,25.50%,0.4
8,73,SPHD,9.70%,0.5,31.83%,0.3
10,71,USCI,9.70%,0.5,24.17%,0.4
4,89,BIV,9.68%,0.5,27.36%,0.4
9,72,FXE,9.68%,0.6,21.24%,0.5
11,69,SPLV,9.67%,0.5,28.86%,0.3
3,93,IOO,9.66%,0.8,12.29%,0.8
10,68,SPLV,9.65%,0.5,36.75%,0.3
3,92,IOO,9.65%,0.8,13.26%,0.7
15,66,SPLV,9.64%,0.5,34.70%,0.3
11,75,TQQQ,9.64%,0.7,28.82%,0.3
6,75,SPLV,9.64%,0.5,36.46%,0.3
